epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6407,0.99465,1.98144,1.05174,0.98348,1,0.995,0.81253,0.71716,2.56399,0.81143,0.00065,0.00065,0.00065
2,21.4482,0.79424,1.17201,0.92187,0.99291,0.87538,0.99105,0.57061,1.01063,2.35766,0.96154,0.00131341,0.00131341,0.00131341
3,30.0945,0.79314,0.98634,0.9415,0.95378,0.9875,0.99219,0.76273,0.85524,1.43642,1.11289,0.00197352,0.00197352,0.00197352
4,38.6523,0.77432,0.87065,0.93079,0.99899,1,0.995,0.77247,0.76241,1.25573,0.98646,0.00198515,0.00198515,0.00198515
5,47.2809,0.75029,0.76578,0.92521,0.09065,0.375,0.05019,0.03398,1.59178,21.6653,1.7284,0.0019802,0.0019802,0.0019802
6,55.8552,0.73637,0.69556,0.90143,1,0.99987,0.995,0.87368,0.61568,0.71922,0.9459,0.00197525,0.00197525,0.00197525
7,64.5114,0.68327,0.60555,0.90034,0.94559,1,0.99394,0.82278,0.63328,0.88436,0.93199,0.0019703,0.0019703,0.0019703
8,73.0917,0.60053,0.53552,0.8758,0.99902,1,0.995,0.88868,0.55047,0.5332,0.87505,0.00196535,0.00196535,0.00196535
9,81.7794,0.57141,0.49825,0.86809,0.99948,1,0.995,0.8919,0.5182,0.4422,0.85283,0.0019604,0.0019604,0.0019604
10,90.3821,0.58716,0.46871,0.87918,0.99937,1,0.995,0.84924,0.55248,0.47034,0.91156,0.00195545,0.00195545,0.00195545
11,98.9633,0.61074,0.47483,0.89516,0.99946,1,0.995,0.9183,0.5165,0.47332,0.89854,0.0019505,0.0019505,0.0019505
12,107.636,0.59886,0.47186,0.89662,0.00162,0.3875,0.02504,0.00284,4.23411,3.16542,2.94746,0.00194555,0.00194555,0.00194555
13,116.263,0.56979,0.45011,0.88713,0.99947,1,0.995,0.84807,0.60276,0.42114,0.85896,0.0019406,0.0019406,0.0019406
14,124.762,0.56874,0.43408,0.88619,0.99957,1,0.995,0.92515,0.45647,0.36579,0.84438,0.00193565,0.00193565,0.00193565
15,133.283,0.54578,0.40602,0.8666,0.9983,1,0.995,0.93011,0.41009,0.37338,0.86715,0.0019307,0.0019307,0.0019307
16,141.83,0.52174,0.39391,0.86263,0.99964,1,0.995,0.92669,0.47797,0.35014,0.84904,0.00192575,0.00192575,0.00192575
17,150.387,0.49217,0.37207,0.86532,0.99964,1,0.995,0.89557,0.50931,0.325,0.98127,0.0019208,0.0019208,0.0019208
18,158.918,0.51992,0.38678,0.86589,0.99964,1,0.995,0.91827,0.49301,0.34605,0.92129,0.00191585,0.00191585,0.00191585
19,167.432,0.49324,0.3671,0.85393,0.99963,1,0.995,0.90291,0.4936,0.36043,0.87472,0.0019109,0.0019109,0.0019109
20,175.981,0.48726,0.36124,0.85002,0.9996,1,0.995,0.90298,0.47713,0.3312,0.86367,0.00190595,0.00190595,0.00190595
21,184.578,0.50164,0.37208,0.84639,0.99963,1,0.995,0.94725,0.35979,0.28258,0.82512,0.001901,0.001901,0.001901
22,193.141,0.4844,0.36279,0.85762,0.99961,1,0.995,0.92609,0.48722,0.3057,0.85117,0.00189605,0.00189605,0.00189605
23,201.815,0.49347,0.36963,0.85897,0.99954,1,0.995,0.94428,0.33328,0.27261,0.83974,0.0018911,0.0018911,0.0018911
24,210.645,0.46699,0.34818,0.85622,0.99964,1,0.995,0.95688,0.3604,0.29291,0.84111,0.00188615,0.00188615,0.00188615
25,219.414,0.47731,0.35571,0.85323,0.99963,1,0.995,0.88677,0.4988,0.33018,0.87697,0.0018812,0.0018812,0.0018812
26,228.099,0.48412,0.36363,0.85193,0.99955,1,0.995,0.89317,0.4494,0.30711,0.84933,0.00187625,0.00187625,0.00187625
27,236.848,0.48008,0.35814,0.86506,0.99861,1,0.995,0.90001,0.46754,0.37353,0.89335,0.0018713,0.0018713,0.0018713
28,245.341,0.49389,0.36329,0.85651,0.99961,1,0.995,0.92395,0.43426,0.30194,0.84401,0.00186635,0.00186635,0.00186635
29,253.833,0.48075,0.35353,0.8538,0.99633,1,0.995,0.86908,0.54976,0.39558,0.92129,0.0018614,0.0018614,0.0018614
30,262.324,0.4708,0.34398,0.84871,0.99918,1,0.995,0.95241,0.36776,0.27219,0.83237,0.00185645,0.00185645,0.00185645
31,270.883,0.47383,0.33928,0.86057,0.99964,1,0.995,0.94648,0.35368,0.25342,0.83022,0.0018515,0.0018515,0.0018515
32,279.521,0.45309,0.33575,0.84332,0.99949,1,0.995,0.93502,0.37797,0.30401,0.85782,0.00184655,0.00184655,0.00184655
33,288.275,0.45122,0.33455,0.85095,0.99959,1,0.995,0.92312,0.45016,0.28126,0.85632,0.0018416,0.0018416,0.0018416
34,296.998,0.43763,0.32549,0.84794,0.99961,1,0.995,0.96328,0.36415,0.26073,0.83786,0.00183665,0.00183665,0.00183665
35,305.616,0.45221,0.32924,0.86222,0.99963,1,0.995,0.90104,0.40472,0.28113,0.83723,0.0018317,0.0018317,0.0018317
36,314.281,0.45365,0.33122,0.84566,0.99963,1,0.995,0.93396,0.36312,0.25698,0.82427,0.00182675,0.00182675,0.00182675
37,322.968,0.42682,0.31788,0.84886,0.99961,1,0.995,0.96512,0.30266,0.22917,0.82151,0.0018218,0.0018218,0.0018218
38,331.587,0.42284,0.31498,0.84522,0.99963,1,0.995,0.95834,0.33785,0.248,0.81524,0.00181685,0.00181685,0.00181685
39,340.168,0.40374,0.30729,0.83463,0.99964,1,0.995,0.9717,0.29913,0.21299,0.81617,0.0018119,0.0018119,0.0018119
40,348.753,0.45754,0.30965,0.83904,0.99963,1,0.995,0.94267,0.37637,0.26946,0.81292,0.00180695,0.00180695,0.00180695
41,357.421,0.44703,0.31929,0.8468,0.99964,1,0.995,0.93249,0.34179,0.24632,0.83273,0.001802,0.001802,0.001802
42,366.059,0.44992,0.31972,0.84888,0.99964,1,0.995,0.96391,0.33812,0.22728,0.82745,0.00179705,0.00179705,0.00179705
43,374.652,0.46461,0.32928,0.85343,0.99964,1,0.995,0.9413,0.36933,0.26341,0.81567,0.0017921,0.0017921,0.0017921
44,383.227,0.44578,0.32208,0.8496,0.99963,1,0.995,0.96889,0.34197,0.27798,0.81839,0.00178715,0.00178715,0.00178715
45,391.82,0.41069,0.30152,0.84442,0.99964,1,0.995,0.97362,0.27536,0.22264,0.81186,0.0017822,0.0017822,0.0017822
46,400.363,0.44923,0.30344,0.85122,0.99963,1,0.995,0.92917,0.45328,0.312,0.99051,0.00177725,0.00177725,0.00177725
47,408.936,0.46018,0.32085,0.85777,0.99964,1,0.995,0.96494,0.28424,0.21964,0.81641,0.0017723,0.0017723,0.0017723
48,417.529,0.41447,0.30484,0.84488,0.99955,1,0.995,0.95408,0.30998,0.23218,0.81734,0.00176735,0.00176735,0.00176735
49,426.088,0.38881,0.30415,0.84134,0.99958,1,0.995,0.95199,0.29873,0.21387,0.81751,0.0017624,0.0017624,0.0017624
50,434.704,0.3992,0.29408,0.84448,0.99963,1,0.995,0.95404,0.297,0.20858,0.81348,0.00175745,0.00175745,0.00175745
51,443.281,0.37915,0.28347,0.83826,0.99963,1,0.995,0.97901,0.26432,0.20563,0.80778,0.0017525,0.0017525,0.0017525
52,451.947,0.38883,0.28821,0.83959,0.99964,1,0.995,0.95238,0.32601,0.25688,0.82381,0.00174755,0.00174755,0.00174755
53,460.634,0.39988,0.29475,0.83609,0.99962,1,0.995,0.96597,0.28863,0.21761,0.81222,0.0017426,0.0017426,0.0017426
54,469.245,0.40869,0.29916,0.82977,0.99964,1,0.995,0.94743,0.33154,0.24131,0.81422,0.00173765,0.00173765,0.00173765
55,477.819,0.40625,0.29822,0.84061,0.99966,1,0.995,0.97434,0.29383,0.21897,0.82777,0.0017327,0.0017327,0.0017327
56,486.366,0.36426,0.2752,0.8328,0.99965,1,0.995,0.97819,0.28418,0.22329,0.80333,0.00172775,0.00172775,0.00172775
57,494.949,0.40726,0.29091,0.84554,0.99965,1,0.995,0.95593,0.34317,0.2426,0.82272,0.0017228,0.0017228,0.0017228
58,503.551,0.37765,0.28569,0.83956,0.99965,1,0.995,0.96122,0.27049,0.21015,0.80868,0.00171785,0.00171785,0.00171785
59,512.118,0.37854,0.28092,0.83209,0.99961,1,0.995,0.97695,0.28852,0.21909,0.81002,0.0017129,0.0017129,0.0017129
60,520.634,0.38658,0.28599,0.83309,0.99963,1,0.995,0.97588,0.27888,0.2056,0.81304,0.00170795,0.00170795,0.00170795
61,529.265,0.37704,0.27265,0.83964,0.99962,1,0.995,0.95757,0.33295,0.20872,0.82221,0.001703,0.001703,0.001703
62,537.938,0.37658,0.27267,0.8387,0.99964,1,0.995,0.96576,0.27683,0.20036,0.79848,0.00169805,0.00169805,0.00169805
63,546.563,0.36217,0.26622,0.82941,0.99965,1,0.995,0.98112,0.2651,0.21353,0.8032,0.0016931,0.0016931,0.0016931
64,555.222,0.35826,0.26602,0.82855,0.99966,1,0.995,0.96869,0.2788,0.21419,0.80381,0.00168815,0.00168815,0.00168815
65,563.806,0.36837,0.27564,0.82587,0.99965,1,0.995,0.96018,0.31259,0.22049,0.79835,0.0016832,0.0016832,0.0016832
66,572.586,0.35528,0.27207,0.82709,0.99943,1,0.995,0.98132,0.27957,0.18727,0.80849,0.00167825,0.00167825,0.00167825
67,581.567,0.37003,0.27146,0.83598,0.99965,1,0.995,0.96453,0.30906,0.21707,0.82487,0.0016733,0.0016733,0.0016733
68,590.61,0.35118,0.25927,0.82689,0.99961,1,0.995,0.97364,0.24861,0.18204,0.79487,0.00166835,0.00166835,0.00166835
69,599.267,0.36201,0.26545,0.82589,0.99966,1,0.995,0.96427,0.28495,0.20806,0.8042,0.0016634,0.0016634,0.0016634
70,607.785,0.35031,0.25858,0.82252,0.99966,1,0.995,0.97085,0.24731,0.23729,0.7957,0.00165845,0.00165845,0.00165845
71,616.343,0.33136,0.24898,0.82297,0.99965,1,0.995,0.96654,0.30051,0.2203,0.81891,0.0016535,0.0016535,0.0016535
72,624.867,0.35556,0.2653,0.82919,1,1,0.995,0.95861,0.30552,0.21385,0.80261,0.00164855,0.00164855,0.00164855
73,633.577,0.34669,0.25526,0.82627,0.99965,1,0.995,0.96499,0.26628,0.19652,0.80136,0.0016436,0.0016436,0.0016436
74,642.305,0.34266,0.25606,0.82742,0.99964,1,0.995,0.98198,0.26201,0.19343,0.80361,0.00163865,0.00163865,0.00163865
75,651.037,0.33026,0.25043,0.8302,0.99965,1,0.995,0.96291,0.26281,0.18461,0.80016,0.0016337,0.0016337,0.0016337
76,659.625,0.33983,0.25246,0.82249,0.99964,1,0.995,0.98504,0.27637,0.17235,0.81494,0.00162875,0.00162875,0.00162875
77,668.115,0.36862,0.26816,0.83791,0.99965,1,0.995,0.98662,0.24705,0.17685,0.80622,0.0016238,0.0016238,0.0016238
78,676.61,0.34073,0.25319,0.82529,0.99965,1,0.995,0.98994,0.21001,0.16555,0.79683,0.00161885,0.00161885,0.00161885
79,685.15,0.33702,0.25209,0.83381,0.99965,1,0.995,0.98426,0.242,0.19663,0.79761,0.0016139,0.0016139,0.0016139
80,693.731,0.35727,0.25882,0.83348,0.9996,1,0.995,0.9755,0.25013,0.18459,0.79806,0.00160895,0.00160895,0.00160895
81,702.311,0.34005,0.24822,0.83151,0.99946,1,0.995,0.98456,0.25419,0.20136,0.80691,0.001604,0.001604,0.001604
82,710.934,0.34989,0.24954,0.82335,0.99965,1,0.995,0.98273,0.25586,0.2338,0.80591,0.00159905,0.00159905,0.00159905
83,719.54,0.34484,0.25841,0.83362,0.99966,1,0.995,0.97103,0.26816,0.19875,0.80347,0.0015941,0.0015941,0.0015941
84,728.113,0.35206,0.26252,0.82712,0.99965,1,0.995,0.97109,0.26313,0.21217,0.7972,0.00158915,0.00158915,0.00158915
85,736.674,0.35295,0.26528,0.83947,0.99965,1,0.995,0.98463,0.27301,0.21289,0.80873,0.0015842,0.0015842,0.0015842
86,745.199,0.32243,0.23931,0.82447,1,1,0.995,0.98154,0.23827,0.21051,0.79886,0.00157925,0.00157925,0.00157925
87,753.687,0.33165,0.24426,0.82984,0.99966,1,0.995,0.96783,0.28657,0.20539,0.80241,0.0015743,0.0015743,0.0015743
88,762.236,0.34091,0.2514,0.83006,0.99965,1,0.995,0.98864,0.22903,0.17661,0.79936,0.00156935,0.00156935,0.00156935
89,770.768,0.32984,0.24512,0.82604,0.99965,1,0.995,0.97958,0.26119,0.20639,0.80284,0.0015644,0.0015644,0.0015644
90,779.342,0.33272,0.24201,0.82507,0.99965,1,0.995,0.97567,0.26333,0.18947,0.80485,0.00155945,0.00155945,0.00155945
91,787.915,0.32301,0.24279,0.8218,0.99965,1,0.995,0.98172,0.21387,0.15312,0.79191,0.0015545,0.0015545,0.0015545
92,796.462,0.31693,0.23866,0.82631,0.99965,1,0.995,0.96847,0.26138,0.19146,0.79907,0.00154955,0.00154955,0.00154955
93,805.027,0.33176,0.24911,0.83425,0.99966,1,0.995,0.99122,0.22857,0.15977,0.79786,0.0015446,0.0015446,0.0015446
94,813.723,0.33224,0.24278,0.82365,0.99965,1,0.995,0.98198,0.25676,0.19271,0.79663,0.00153965,0.00153965,0.00153965
95,822.36,0.34145,0.24659,0.82739,0.99965,1,0.995,0.94665,0.26826,0.20572,0.79504,0.0015347,0.0015347,0.0015347
96,830.959,0.3297,0.24023,0.8178,0.99966,1,0.995,0.98425,0.24293,0.18313,0.8022,0.00152975,0.00152975,0.00152975
97,839.545,0.3235,0.23969,0.82244,0.99965,1,0.995,0.98695,0.22006,0.18234,0.79663,0.0015248,0.0015248,0.0015248
98,848.083,0.32669,0.23293,0.8292,0.99966,1,0.995,0.98309,0.24476,0.17077,0.79869,0.00151985,0.00151985,0.00151985
99,856.605,0.34049,0.24091,0.81911,0.99965,1,0.995,0.97186,0.23414,0.184,0.79507,0.0015149,0.0015149,0.0015149
100,865.171,0.32215,0.23828,0.81875,0.99966,1,0.995,0.99137,0.20385,0.15887,0.79403,0.00150995,0.00150995,0.00150995
101,873.749,0.33456,0.24149,0.82131,0.99965,1,0.995,0.9894,0.22688,0.18718,0.79581,0.001505,0.001505,0.001505
102,882.336,0.31709,0.23385,0.81811,0.99966,1,0.995,0.97793,0.23773,0.17765,0.79341,0.00150005,0.00150005,0.00150005
103,890.846,0.30869,0.22683,0.81472,0.99966,1,0.995,0.96747,0.24795,0.18035,0.79423,0.0014951,0.0014951,0.0014951
104,899.433,0.30155,0.22652,0.82228,0.99966,1,0.995,0.98929,0.21375,0.16176,0.79009,0.00149015,0.00149015,0.00149015
105,908.007,0.30265,0.21811,0.81761,0.99966,1,0.995,0.98669,0.21928,0.16912,0.79073,0.0014852,0.0014852,0.0014852
106,916.642,0.32,0.23995,0.8247,0.99966,1,0.995,0.98472,0.22611,0.1787,0.79445,0.00148025,0.00148025,0.00148025
107,925.269,0.30182,0.2216,0.82152,0.99966,1,0.995,0.98434,0.21312,0.15782,0.78983,0.0014753,0.0014753,0.0014753
108,934.018,0.31046,0.22719,0.82167,0.99965,1,0.995,0.98904,0.23007,0.19091,0.7906,0.00147035,0.00147035,0.00147035
109,942.735,0.30421,0.22781,0.8178,0.99965,1,0.995,0.9847,0.21791,0.16235,0.79192,0.0014654,0.0014654,0.0014654
110,951.589,0.31323,0.22686,0.82871,0.99966,1,0.995,0.98994,0.23214,0.16196,0.80194,0.00146045,0.00146045,0.00146045
111,960.15,0.30798,0.22701,0.82948,0.99966,1,0.995,0.97886,0.24112,0.17772,0.79699,0.0014555,0.0014555,0.0014555
112,968.642,0.29646,0.22495,0.82025,0.99966,1,0.995,0.98488,0.21682,0.17876,0.79502,0.00145055,0.00145055,0.00145055
113,977.125,0.29756,0.22544,0.82295,1,1,0.995,0.98225,0.21633,0.17996,0.79055,0.0014456,0.0014456,0.0014456
114,985.654,0.2975,0.21621,0.81685,0.99966,1,0.995,0.98621,0.24012,0.17569,0.79311,0.00144065,0.00144065,0.00144065
115,994.339,0.33037,0.23646,0.82344,0.99966,1,0.995,0.98841,0.22008,0.16756,0.78691,0.0014357,0.0014357,0.0014357
116,1003.06,0.3045,0.22158,0.82234,0.99966,1,0.995,0.99132,0.19645,0.14928,0.78948,0.00143075,0.00143075,0.00143075
117,1011.73,0.30231,0.22369,0.81944,0.99966,1,0.995,0.98292,0.20373,0.16702,0.7894,0.0014258,0.0014258,0.0014258
118,1020.33,0.30461,0.22245,0.82149,0.99966,1,0.995,0.98801,0.23399,0.17472,0.79639,0.00142085,0.00142085,0.00142085
119,1028.88,0.318,0.23603,0.82039,0.99965,1,0.995,0.99095,0.21825,0.16777,0.7907,0.0014159,0.0014159,0.0014159
120,1037.39,0.303,0.21586,0.82301,0.99966,1,0.995,0.98261,0.21316,0.14313,0.78813,0.00141095,0.00141095,0.00141095
121,1045.9,0.31493,0.22595,0.82874,0.99966,1,0.995,0.97345,0.26136,0.1802,0.79524,0.001406,0.001406,0.001406
122,1054.49,0.31572,0.2259,0.82769,1,1,0.995,0.98738,0.20727,0.15874,0.7901,0.00140105,0.00140105,0.00140105
123,1063.09,0.29511,0.2223,0.81744,0.99966,1,0.995,0.98858,0.20837,0.17291,0.79277,0.0013961,0.0013961,0.0013961
124,1071.63,0.29463,0.21876,0.82074,0.99965,1,0.995,0.98357,0.21024,0.16634,0.79004,0.00139115,0.00139115,0.00139115
125,1080.24,0.29585,0.21788,0.82473,0.99965,1,0.995,0.98218,0.24104,0.16394,0.79503,0.0013862,0.0013862,0.0013862
126,1088.84,0.28936,0.21366,0.82159,0.99966,1,0.995,0.98257,0.2246,0.155,0.79949,0.00138125,0.00138125,0.00138125
127,1097.38,0.30441,0.21767,0.82082,0.99965,1,0.995,0.98764,0.20841,0.1534,0.79027,0.0013763,0.0013763,0.0013763
128,1105.95,0.30168,0.21635,0.82195,1,1,0.995,0.98282,0.23064,0.15905,0.79052,0.00137135,0.00137135,0.00137135
129,1114.51,0.31193,0.22355,0.82274,0.99966,1,0.995,0.98363,0.22975,0.17522,0.79183,0.0013664,0.0013664,0.0013664
130,1123.06,0.30473,0.22109,0.81938,0.99966,1,0.995,0.98891,0.19734,0.15145,0.79266,0.00136145,0.00136145,0.00136145
131,1131.57,0.30167,0.21919,0.81673,0.99965,1,0.995,0.98402,0.22908,0.17017,0.79145,0.0013565,0.0013565,0.0013565
132,1140.18,0.29963,0.21843,0.82148,0.99963,1,0.995,0.98922,0.21759,0.16365,0.79215,0.00135155,0.00135155,0.00135155
133,1148.76,0.29724,0.21745,0.81872,0.99965,1,0.995,0.98905,0.21124,0.17498,0.79387,0.0013466,0.0013466,0.0013466
134,1157.3,0.29761,0.21292,0.82124,0.9996,1,0.995,0.9928,0.20195,0.15701,0.78743,0.00134165,0.00134165,0.00134165
135,1165.85,0.28884,0.20643,0.81491,0.99966,1,0.995,0.98513,0.20483,0.15597,0.78891,0.0013367,0.0013367,0.0013367
136,1174.45,0.2851,0.20838,0.81485,0.99967,1,0.995,0.98262,0.24864,0.18994,0.79388,0.00133175,0.00133175,0.00133175
137,1182.99,0.28622,0.20967,0.81909,0.99966,1,0.995,0.99021,0.20413,0.15816,0.79149,0.0013268,0.0013268,0.0013268
138,1191.59,0.2823,0.20468,0.81477,0.99965,1,0.995,0.98971,0.21132,0.15343,0.78838,0.00132185,0.00132185,0.00132185
139,1200.19,0.28897,0.21429,0.81564,0.99965,1,0.995,0.98635,0.20226,0.14389,0.78925,0.0013169,0.0013169,0.0013169
140,1208.73,0.27844,0.20413,0.82459,0.99965,1,0.995,0.99235,0.20029,0.14326,0.78881,0.00131195,0.00131195,0.00131195
141,1217.24,0.27792,0.20317,0.81482,0.99966,1,0.995,0.97569,0.23716,0.14565,0.78967,0.001307,0.001307,0.001307
142,1225.76,0.28007,0.20634,0.82418,0.99966,1,0.995,0.98988,0.20808,0.15908,0.79018,0.00130205,0.00130205,0.00130205
143,1234.26,0.29195,0.21656,0.82048,0.99966,1,0.995,0.99143,0.21217,0.16246,0.78849,0.0012971,0.0012971,0.0012971
144,1242.8,0.28344,0.21076,0.81802,0.99966,1,0.995,0.98946,0.21658,0.16154,0.79769,0.00129215,0.00129215,0.00129215
145,1251.32,0.28441,0.21546,0.81802,0.99966,1,0.995,0.98641,0.2317,0.16728,0.79258,0.0012872,0.0012872,0.0012872
146,1259.9,0.30061,0.21629,0.82022,1,1,0.995,0.98565,0.21207,0.16874,0.79068,0.00128225,0.00128225,0.00128225
147,1268.48,0.29044,0.21541,0.81904,0.99966,1,0.995,0.97338,0.22867,0.17317,0.78903,0.0012773,0.0012773,0.0012773
148,1277.02,0.28263,0.20648,0.81687,0.99966,1,0.995,0.98278,0.23107,0.16647,0.7911,0.00127235,0.00127235,0.00127235
149,1285.68,0.28094,0.2091,0.82072,0.99966,1,0.995,0.99135,0.19806,0.1401,0.78745,0.0012674,0.0012674,0.0012674
150,1294.52,0.28421,0.20429,0.82407,1,1,0.995,0.98448,0.19823,0.13989,0.78792,0.00126245,0.00126245,0.00126245
151,1303.44,0.29077,0.21465,0.82165,0.99966,1,0.995,0.98833,0.21456,0.16746,0.79438,0.0012575,0.0012575,0.0012575
152,1312.23,0.30184,0.21424,0.81299,0.99963,1,0.995,0.9886,0.19547,0.14782,0.79181,0.00125255,0.00125255,0.00125255
153,1320.84,0.27609,0.20775,0.81624,0.99966,1,0.995,0.98641,0.20278,0.1639,0.78931,0.0012476,0.0012476,0.0012476
154,1329.37,0.27468,0.2014,0.81941,0.99966,1,0.995,0.99047,0.20636,0.15597,0.78827,0.00124265,0.00124265,0.00124265
155,1337.88,0.28531,0.20849,0.81687,0.99966,1,0.995,0.98997,0.2079,0.14343,0.78886,0.0012377,0.0012377,0.0012377
156,1346.38,0.30099,0.21226,0.82357,0.99966,1,0.995,0.98887,0.22208,0.14988,0.79167,0.00123275,0.00123275,0.00123275
157,1355.04,0.28021,0.20301,0.81741,0.99966,1,0.995,0.98919,0.204,0.15291,0.79077,0.0012278,0.0012278,0.0012278
158,1363.7,0.27135,0.19919,0.81034,1,1,0.995,0.98691,0.21487,0.14403,0.79081,0.00122285,0.00122285,0.00122285
159,1372.34,0.28017,0.21007,0.81761,0.99966,1,0.995,0.98178,0.21057,0.15084,0.78955,0.0012179,0.0012179,0.0012179
160,1380.87,0.27571,0.20627,0.81769,0.99966,1,0.995,0.99367,0.19188,0.14846,0.78535,0.00121295,0.00121295,0.00121295
161,1389.41,0.27882,0.20457,0.81405,0.99966,1,0.995,0.98996,0.19118,0.13012,0.78528,0.001208,0.001208,0.001208
162,1397.91,0.27289,0.20118,0.81957,0.99967,1,0.995,0.994,0.17118,0.1169,0.78441,0.00120305,0.00120305,0.00120305
163,1406.41,0.26614,0.20083,0.81577,0.99966,1,0.995,0.99211,0.18951,0.12204,0.78484,0.0011981,0.0011981,0.0011981
164,1414.98,0.2872,0.20953,0.8237,1,1,0.995,0.98815,0.21213,0.14709,0.79142,0.00119315,0.00119315,0.00119315
165,1423.51,0.28934,0.2149,0.81797,0.99967,1,0.995,0.99383,0.19237,0.1409,0.78798,0.0011882,0.0011882,0.0011882
166,1432.1,0.26121,0.19579,0.81296,0.99966,1,0.995,0.9908,0.18789,0.13615,0.78681,0.00118325,0.00118325,0.00118325
167,1440.69,0.26428,0.20113,0.81588,0.99966,1,0.995,0.98506,0.19793,0.14522,0.7868,0.0011783,0.0011783,0.0011783
168,1449.33,0.28329,0.20844,0.81562,0.99966,1,0.995,0.98266,0.22209,0.14739,0.7952,0.00117335,0.00117335,0.00117335
169,1457.93,0.28513,0.20859,0.81562,0.99959,1,0.995,0.97898,0.24573,0.1664,0.79772,0.0011684,0.0011684,0.0011684
170,1466.52,0.28965,0.21499,0.81852,0.9995,1,0.995,0.97604,0.21692,0.17388,0.79222,0.00116345,0.00116345,0.00116345
171,1475.06,0.27884,0.20628,0.81917,0.99966,1,0.995,0.98049,0.21165,0.15555,0.79166,0.0011585,0.0011585,0.0011585
172,1483.61,0.27541,0.20262,0.81723,1,1,0.995,0.98752,0.21783,0.15569,0.79429,0.00115355,0.00115355,0.00115355
173,1492.11,0.28095,0.2047,0.81659,0.99967,1,0.995,0.9933,0.18537,0.12529,0.78593,0.0011486,0.0011486,0.0011486
174,1500.58,0.26882,0.1916,0.81925,0.99966,1,0.995,0.98623,0.21268,0.13243,0.78649,0.00114365,0.00114365,0.00114365
175,1509.12,0.2751,0.19289,0.81821,1,1,0.995,0.99291,0.19555,0.13881,0.79071,0.0011387,0.0011387,0.0011387
176,1517.72,0.26564,0.19429,0.81182,0.99966,1,0.995,0.98611,0.21329,0.13126,0.78619,0.00113375,0.00113375,0.00113375
177,1526.29,0.27126,0.19902,0.81937,0.99966,1,0.995,0.98879,0.21531,0.13287,0.78785,0.0011288,0.0011288,0.0011288
178,1534.87,0.28042,0.21139,0.81596,0.9996,1,0.995,0.98369,0.2188,0.1484,0.7876,0.00112385,0.00112385,0.00112385
179,1543.46,0.27874,0.20096,0.81769,0.99965,1,0.995,0.99121,0.20337,0.14563,0.79,0.0011189,0.0011189,0.0011189
180,1552.11,0.25762,0.18542,0.81471,0.99966,1,0.995,0.98862,0.19285,0.1359,0.78822,0.00111395,0.00111395,0.00111395
181,1560.67,0.27053,0.19623,0.80702,0.99964,1,0.995,0.98812,0.18595,0.13393,0.78393,0.001109,0.001109,0.001109
182,1569.2,0.26741,0.20086,0.81654,0.99966,1,0.995,0.9914,0.19953,0.15933,0.78955,0.00110405,0.00110405,0.00110405
